Smiles,Standard Type,Standard Value,Standard Units
COCCn1c(C)cc(C(=O)CN2C(=O)NC3(CCCCCC3)C2=O)c1C,Potency,5623.4,nM
CC1CCN(C(=O)COC(=O)c2c[nH]c3ccccc23)CC1,Potency,7079.5,nM
Cc1cc(C)nc(NC(=O)/C=C/c2ccc(Cl)cc2Cl)c1,Potency,6309.6,nM
Cc1cnc(NC(=O)c2sc(Nc3ccccc3)nc2N)o1,Potency,12589.3,nM
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccco1,Potency,12589.3,nM
NC(=NOC(=O)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,Potency,7079.5,nM
Nc1nc(-c2ccccc2Cl)cs1,Potency,10000.0,nM
CCOC(=O)c1c(C)[nH]c(/C=N/c2ccc(OC)cc2)c1O,Potency,6309.6,nM
COc1ccc(C(=O)NCCSC2CCCCC2)cc1,Potency,1778.3,nM
COc1cc(/C=N/N2CCOCC2)ccc1OCc1ccccc1,Potency,7943.3,nM
O=c1oc2ccccc2n1CSc1nc2ccccc2s1,Potency,12589.3,nM
Cc1cccnc1NC(=S)NC(=O)c1oc2ccccc2c1C,Potency,2818.4,nM
COc1cc(C=O)ccc1OCCCOc1ccccc1[N+](=O)[O-],Potency,7079.5,nM
C1=C(CCNc2[nH]cnc3ncnc2-3)CCCC1,Potency,6309.6,nM
c1ccc(-n2nnc(-c3nccs3)n2)cc1,Potency,2818.4,nM
Nc1n[nH]c(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n1,Potency,10000.0,nM
Cc1cc(C(=O)COC(=O)c2ccc(O)cc2)c(C)n1CC(F)(F)F,Potency,7943.3,nM
O=C(NCCc1ccccc1)Oc1ccc(Cl)cc1,Potency,12589.3,nM
CC(C)(C)S(=O)(=O)c1cnc(-c2ccc(Cl)cc2)nc1N,Potency,2818.4,nM
c1ccc(-c2ccc(-c3csnn3)cc2)cc1,Potency,7943.3,nM
CCCCN1C(=O)C(=O)N(c2ccccc2)C1=S,Potency,5011.9,nM
COc1ccc(NC(C)C(=O)N/N=C/c2ccccc2OCc2ccc(Br)cc2)cc1,Potency,3981.1,nM
O=C(NCC1CCCO1)c1ccc(COc2ccccc2)cc1,Potency,11220.2,nM
COC(=O)Cn1c(C)nc2c(sc3nc(C)cc(C)c32)c1=O,Potency,6309.6,nM
Cn1c(CNc2nc3ccccc3n2C)nc2ccccc21,Potency,10000.0,nM
CNc1ncc(C(=O)c2ccc(Cl)cc2)s1,Potency,4466.8,nM
O=C(Cn1cc(C(=O)C2CC2)c2ccccc21)NCc1ccccc1,Potency,12589.3,nM
Cc1ccccc1Nc1nc(N)nc(COC(=O)c2ccco2)n1,Potency,3981.1,nM
CCC(=O)Nc1ccc2c(c1)ncn2-c1ccc(C)cc1,Potency,1995.3,nM
COc1ccc2sc(NC(=O)CC(C)C)nc2c1,Potency,5623.4,nM
c1ccc(-c2cnnc(-c3ccccn3)n2)cc1,Potency,4466.8,nM
Fc1ccc(OCc2nc(-c3cccs3)no2)cc1,Potency,7943.3,nM
CCc1nnc(NC(=O)c2ccc(OC)cc2)s1,Potency,7079.5,nM
O=C(Nc1ccc2ncccc2c1)c1cc(Cl)ccc1Cl,Potency,7943.3,nM
CCN(c1ccccc1)c1ncnc2c1cnn2-c1ccccc1,Potency,5011.9,nM
Oc1c(Br)cc(/C=N/Nc2nncc3ccccc23)cc1Br,Potency,8912.5,nM
O=C(NCc1ccc(F)cc1)c1c2c(nc3ccccc13)CCC2,Potency,14125.4,nM
O=C(CSc1nc2ccccc2[nH]1)c1ccccc1F,Potency,1995.3,nM
CN(C)/N=C/c1ccc(OS(=O)(=O)c2ccccc2)cc1,Potency,10000.0,nM
Cc1[nH]c2ccccc2c1C(=O)/C(C#N)=c1\s/c(=C/c2ccccn2)c(=O)n1-c1ccccc1F,Potency,11220.2,nM
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)Nc1cccc(Cl)c1,Potency,11220.2,nM
O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,Potency,12589.3,nM
O=C(CCC(=O)c1ccc[nH]1)c1ccc(Cl)cc1,Potency,7079.5,nM
C=CCn1c(N)c(C(=O)NCCC2=CCCCC2)sc1=S,Potency,12589.3,nM
CCOC(=O)CSc1nc2ccc(C)cc2cc1C#N,Potency,3981.1,nM
Cc1ccc2oc(C(=O)N(C)Cc3ccon3)c(C)c2c1,Potency,8912.5,nM
O=C(CCc1ccccc1)Nc1ccc2ccccc2n1,Potency,7079.5,nM
CCCCN1C(=O)/C(=C/C=C2\SCCN2C)SC1=S,Potency,7079.5,nM
CC1CC1C(=O)Nc1ccc(-c2ccccc2)cc1,Potency,2511.9,nM
O=C(CSc1nnnn1Cc1ccccc1)c1ccccc1,Potency,12589.3,nM
CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc3ncccc3c2)cc1,Potency,12589.3,nM
COc1ccc(Cc2nnc(-c3ccccc3)o2)cc1,Potency,12589.3,nM
CCOc1ccc(Nc2nc3ccccc3n2C)cc1,Potency,2511.9,nM
O=C(NCC(=O)N1CCCCC1)c1sc2ccccc2c1Cl,Potency,4466.8,nM
CCOc1ccc(Nc2cc(C)c3ccccc3n2)cc1,Potency,10000.0,nM
CCOC(=O)c1cc2c(=O)c3cc(C)ccc3oc2nc1C,Potency,11220.2,nM
Clc1ccc(-c2nnc(-c3ccc4ccccc4c3)o2)cc1,Potency,1995.3,nM
CN(C)CCCNc1cc(C(C)(C)C)nc2c(-c3ccccc3)cnn12,Potency,5623.4,nM
CCCC(=O)Nc1nnc(-c2ccc3c(c2)OCCO3)o1,Potency,6309.6,nM
O=C(c1ccco1)N1CCN(c2ccc(N3CCCCC3)nn2)CC1,Potency,10000.0,nM
CSc1ccccc1OCc1cc(C(=O)N(C)Cc2nonc2C)no1,Potency,11220.2,nM
S=C(NCCc1ccccc1)N1CCc2ccccc2C1,Potency,10000.0,nM
