Smiles,Standard Type,Standard Value,Standard Units
Cc1ccc2cc(CCNC(=O)c3ccco3)c(O)nc2c1,Potency,12589.3,nM
CCn1c(S)nnc1CCCOc1ccc(Cl)cc1Cl,Potency,6309.6,nM
Cc1cc(C(=O)NCCC2=CCCCC2)ccc1[N+](=O)[O-],Potency,5011.9,nM
O=C(COc1ccc(Br)cc1)N1CCc2ccccc21,Potency,7079.5,nM
CCc1ccc(NC(=O)CCCN2C(=O)C3CC=CCC3C2=O)cc1,Potency,7943.3,nM
CCn1nc(C(=O)OCC(=O)Nc2nc(-c3ccc(OC)cc3)cs2)c2ccccc2c1=O,Potency,6309.6,nM
COC(=O)c1sc(-c2cccs2)cc1N,Potency,12589.3,nM
O=[N+]([O-])c1nn(-c2ccc3c(c2)OCCO3)[n+]([O-])c1NCCC1=CCCCC1,Potency,4466.8,nM
CCCC(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1ccc(-c2nc3ccc(C)cc3s2)cc1,Potency,15848.9,nM
CCc1nnc(NC(=O)c2cccc(NC(=O)C(C)C)c2)s1,Potency,11220.2,nM
O=C(NC1CCCCC1)c1ccc2ccccc2c1,Potency,3162.3,nM
C=C(C)CNC(S)=Nc1nc2c(cc1C(=O)OCC)CCCC2,Potency,7079.5,nM
Cc1cc(CN(C)C(=O)c2cc(COc3ccc(F)cc3Cl)on2)n[nH]1,Potency,7943.3,nM
Cc1c(-c2ccccc2)nn2c(O)c3c(nc12)CCCC3,Potency,3162.3,nM
O=C(c1ccccc1)c1ccc2c(c1)OCCCO2,Potency,1412.5,nM
Cn1cc(Cl)c(C(=N)NOC(=O)c2ccccc2C(F)(F)F)n1,Potency,11220.2,nM
CC(/C=N/NC(=O)Cc1cccn1C)=C\c1ccccc1,Potency,11220.2,nM
C/C(=N\NC(=O)c1ccccc1)c1cccc(Br)c1,Potency,10000.0,nM
Fc1ccc(NC(S)=Nc2nccs2)cc1,Potency,3162.3,nM
N=c1oc2cc(O)ccc2cc1C(=O)Nc1ccc(F)cc1,Potency,1584.9,nM
Nn1c(Nc2ccccc2)nc2ccccc21,Potency,10000.0,nM
COc1ccc2c(c1)O/C(=C\c1ccccc1O)C2=O,Potency,12589.3,nM
COCCNc1c(-c2cc3ccc(C)c(C)c3nc2O)nc2ccccn12,Potency,2238.7,nM
O=c1oc(CCCO)cc2ccc(/C=C/c3cccc([N+](=O)[O-])c3)cc12,Potency,6309.6,nM
CSc1nc2ccc(NC(=O)c3c(F)cccc3F)cc2s1,Potency,5623.4,nM
COc1ccc(/N=C/c2nc(-c3ccccc3)oc2OC(=O)c2ccccc2)cc1,Potency,6309.6,nM
Cc1ccc(-c2cc(C(=O)N3CCN(c4ccccc4O)CC3)c3ccccc3n2)o1,Potency,4466.8,nM
c1cc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)ccn1,Potency,3162.3,nM
Cc1cccc(Nc2ccc([N+](=O)[O-])cn2)c1,Potency,11220.2,nM
Cc1cc(C)cc(C(=O)Nc2nc3ccccc3[nH]2)c1,Potency,7943.3,nM
O=C(/C=C/c1cccs1)c1ccc(NC(=O)c2cccc(Br)c2)cc1,Potency,11220.2,nM
COc1ccc(C(=O)c2oc3ccc(OC)cc3c2N)cc1,Potency,5011.9,nM
CCCC(=O)Nc1nnc(/C=C/c2ccc(OC)cc2)s1,Potency,5623.4,nM
c1csc(-c2nc(N3CCCCC3)no2)c1,Potency,6309.6,nM
Cl.c1ccc(COc2ccc(CNCc3cccnc3)cc2)cc1,Potency,10000.0,nM
CC1CCCC(NC(=O)/C=C/c2c(F)cccc2Cl)C1C,Potency,11220.2,nM
Cc1cc(C)c2c(CN(C)Cc3ccccc3)cc(=O)oc2c1,Potency,12589.3,nM
O=[N+]([O-])c1cccc(/C=N/N2CCN(Cc3ccccc3)CC2)c1,Potency,12589.3,nM
CCOC(=O)N/N=C/c1ccccc1F,Potency,10000.0,nM
O=C(c1cnn2ccccc12)N1CCc2ccccc21,Potency,3162.3,nM
Cc1ccc(CNc2ccc3c(c2)ncn3C)cc1,Potency,5011.9,nM
CCOC(=O)C1CCN(C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,Potency,12589.3,nM
O=C(CSc1ccccc1F)Nc1ccc(N2CCOCC2)cc1,Potency,5623.4,nM
O=C(COc1ccc(Br)cc1Cl)NC(=O)Nc1ccc2c(c1)OCCO2,Potency,11220.2,nM
O=C(Cc1csc(NC(=O)Nc2ccc(Cl)cc2)n1)NCc1ccccn1,Potency,11220.2,nM
CCc1ccc(-c2ccc(SCC(=O)NCC3CCCO3)nn2)cc1,Potency,2511.9,nM
CSc1ccc(/C=N/n2c(C)cc(C)cc2=O)cc1,Potency,10000.0,nM
Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccc(OCc3cccc(Cl)c3)cc2)c1CN1CCCCC1,Potency,2511.9,nM
O=C(CSc1ccccn1)Nc1ccc2c(c1)CCC2,Potency,10000.0,nM
COc1ccccc1-c1ccc(NC2CCCCC2)nn1,Potency,7079.5,nM
CCCCNC(=O)N(C)c1nc2ccccc2s1,Potency,4466.8,nM
Cc1ccc(NC(=S)c2ccccc2)cc1,Potency,1258.9,nM
CCOC(=O)c1ccc(NC(=O)c2ccco2)cc1,Potency,7079.5,nM
COc1cccc(-c2ccc(SCc3ccccn3)nn2)c1,Potency,5011.9,nM
CC(=O)Nc1cnc(-c2cc(C)c(O)c(C)c2)cn1,Potency,8912.5,nM
Clc1ccc(-c2cc(CSc3ccccc3)on2)cc1,Potency,3548.1,nM
O=C(c1ccccc1)c1cc2ccccc2o1,Potency,10000.0,nM
Cc1ccc2c(Cl)c(C(=O)NCCc3ccccc3)sc2c1,Potency,3162.3,nM
Cc1ccc(SCC(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,Potency,3548.1,nM
Cc1ccccc1Cn1nnc(C(=O)Nc2ccc3c(c2)OCCO3)c1N,Potency,3548.1,nM
COc1cccc(-c2nn(Cc3ccccc3)cc2CO)c1,Potency,12589.3,nM
CCN(CC)c1ccc(/C=N/N2CCOCC2)c(O)c1,Potency,6309.6,nM
Cc1cc2nc(-c3ccc(SCc4ccc(C(=O)O)cc4)nc3)[nH]c2cc1C,Potency,11220.2,nM
COc1ccc(NC(=O)/C=C/c2cccc(F)c2)cn1,Potency,7079.5,nM
COc1ccc2c(Cl)c(C(=O)NCc3ccco3)sc2c1,Potency,11220.2,nM
COc1ccc(/C=C/C(=O)Nc2cccc(S(=O)(=O)NC3=NCCCCC3)c2)cc1,Potency,7943.3,nM
CCc1nnc(NC(=O)CSc2ccc(-c3ccc(C)cc3)nn2)s1,Potency,11220.2,nM
COc1ccc(/C=N/N=C2/SCC(=O)N2Cc2ccccc2)cc1,Potency,5623.4,nM
Cc1ccc(SCC(=O)Nc2ccccc2C(=O)O)cc1,Potency,4466.8,nM
Cc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4)C3)n2)o1,Potency,10000.0,nM
COc1ccc(NC(=O)c2cc(-c3cccs3)on2)cc1,Potency,4466.8,nM
O=C(CSc1nc2ccccc2[nH]1)Nc1ccc2c(c1)OCCO2,Potency,10000.0,nM
COc1ccc2c(c1OC)C(=O)OC2Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,Potency,12589.3,nM
Cc1nc2ccc(NC(=O)N3CCCCC3)cc2s1,Potency,11220.2,nM
CCC(C)N1C(=O)S/C(=C/c2ccc(N3CCOCC3)cc2C)C1=O,Potency,8912.5,nM
CC1(C)CC(=O)/C(=N/Nc2ccc(Cl)cc2)CO1,Potency,3548.1,nM
Cc1ccc(-n2ncc3c(NCc4cccnc4)ncnc32)cc1C,Potency,1000.0,nM
COc1ccc(Cc2nnc(S)n2NC(=O)Nc2ccc(C)cc2)cc1,Potency,12589.3,nM
COc1ccc(C(=O)Cc2nnc(C)s2)c(OC)c1,Potency,11220.2,nM
NS(=O)(=O)c1ccc(N=NN2CCCCC2)cc1,Potency,10000.0,nM
O=C1c2ccccc2NC2(CCCCC2)N1c1ccc(O)cc1,Potency,11220.2,nM
CN(CC(=O)N1CCCCCC1)S(=O)(=O)c1ccc(F)cc1,Potency,10000.0,nM
O=C(CC1CCCCC1)NCc1ccc(Cl)cc1,Potency,11220.2,nM
CCOC(=O)c1sc(-c2ccccc2)cc1N,Potency,12589.3,nM
Cc1cc(NC(=O)c2cc(C(C)C)on2)no1,Potency,11220.2,nM
COc1cc2c(cc1N)-c1ccc(N)cc1C2=O,Potency,10000.0,nM
COc1ccc(NC(=O)Nc2ccccc2OC)cc1,Potency,14125.4,nM
NC(=O)c1c(NC(=O)c2cnccn2)sc2c1CCCC2,Potency,7943.3,nM
Cc1cccc(NC(=O)c2ccc3nccnc3c2)n1,Potency,12589.3,nM
CC(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCC(C)C2,Potency,4466.8,nM
CSc1nc2ccc3nc(NC(=O)c4cccs4)sc3c2s1,Potency,8912.5,nM
CCC(CC)c1nnc(NC(=O)C2=COCCO2)s1,Potency,10000.0,nM
Cc1ccc(/C=N/N2CCN(c3ccccc3)CC2)cc1,Potency,12589.3,nM
O=C(NCc1ccccn1)c1ccc(-c2ccccc2)cc1,Potency,12589.3,nM
Cc1cc(-n2c(C)cc(C(=O)CSc3ccccn3)c2C)no1,Potency,3981.1,nM
Cc1cc(C(=O)COC(=O)c2ccc3c(c2)OCO3)c(C)n1Cc1cccs1,Potency,5011.9,nM
Cc1nc(-c2ccc(NC(=O)Cc3ccccc3)cc2)cs1,Potency,8912.5,nM
Cn1c(-c2ccc(F)cc2)cc2onc(-c3c(F)cccc3Cl)c2c1=O,Potency,1995.3,nM
Cc1cc(C(=O)COc2cccc([N+](=O)[O-])c2)c(C)n1C1CC1,Potency,7079.5,nM
O=[N+]([O-])c1ccc(-c2nc(-c3ccncc3)no2)cc1,Potency,2511.9,nM
Cc1cc(C)n(-c2nnc(NC34CC5CC(CC(C5)C3)C4)nn2)n1,Potency,2511.9,nM
Cc1cccc(C(=O)/N=c2\sccn2C)c1[N+](=O)[O-],Potency,5011.9,nM
C/C(=N\Nc1cc(N2CCOCC2)ncn1)c1ccccc1,Potency,1778.3,nM
COc1ccc(NC(=O)Nc2ccc3oc(C)nc3c2)cc1,Potency,2818.4,nM
COc1ccc(-c2cc(C(=O)Nc3cccc(Cl)c3)no2)cc1,Potency,3162.3,nM
Cc1cccc(C(=O)OC(C)CN2CCN(C)CC2)c1.Cl,Potency,8912.5,nM
Cc1nn(-c2ccccc2)c(Cl)c1/C=N/NC(=O)c1ccco1,Potency,6309.6,nM
CCC(=O)Nc1ccc(C(=O)Nc2cccc(OC)c2)cc1,Potency,12589.3,nM
COC(=O)c1sc(NC(=O)c2cc(C)on2)nc1C,Potency,10000.0,nM
Cc1cc(C(=O)COC(=O)c2ccc(O)cc2)c(C)n1Cc1ccco1,Potency,2818.4,nM
CCCn1nc(NC(=O)c2ccccn2)c2cc3cc(C)ccc3nc21,Potency,11220.2,nM
N=C(NOC(=O)COc1ccc(Cl)cc1Cl)c1ccncc1,Potency,1122.0,nM
S=C(c1ccc(-c2cccc(Cl)c2)o1)N1CCOCC1,Potency,3548.1,nM
CCC(=O)Nc1ccc2oc(-c3cccnc3)nc2c1,Potency,10000.0,nM
COc1ccc(OCc2cc(C(=O)N3CCSCC3)no2)c(Cl)c1,Potency,11220.2,nM
Fc1ccc(COc2ccc(/C=N/n3cnnc3)cc2)cc1,Potency,15848.9,nM
COc1ccc(C2OC(=O)CC2C(=O)NCc2ccc(Cl)cc2)cc1OC,Potency,8912.5,nM
Nc1ccc(-c2nc3ncccc3o2)c(O)c1,Potency,5011.9,nM
C(=N/n1cnnc1)\c1ccc(OCc2ccccc2)cc1,Potency,12589.3,nM
CN(C(=O)c1cc(-c2ccccc2)on1)C1CCCCC1,Potency,1584.9,nM
CSc1ccccc1OCc1cc(C(=O)NC2CCOC2)no1,Potency,12589.3,nM
COc1ccc(C(=O)c2ccsc2N)cc1,Potency,11220.2,nM
CCc1nc2oc3ccccc3c(=O)c2cc1C(=O)OC,Potency,3162.3,nM
Cn1ccc(NC(=O)Nc2ccc(Cl)cc2)n1,Potency,7079.5,nM
NS(=O)(=O)c1ccc(N/N=C/c2ccccc2)cc1,Potency,8912.5,nM
CC(=O)c1sc(NC(=O)c2ccc3c(c2)OCO3)nc1C,Potency,2511.9,nM
Fc1cccc(Cn2ccc(-c3ccc4c(c3)OCO4)n2)c1,Potency,10000.0,nM
N=C(NOC(=O)/C=C/c1ccccc1Cl)c1cccnc1,Potency,3981.1,nM
C=CCn1c(NCc2ccc(OC)cc2O)nc2ccccc21,Potency,12589.3,nM
COC(=O)c1ccc(COC(=O)CNC(=O)c2ccc(OC)cc2)cc1,Potency,5011.9,nM
OCc1cn(-c2ccccc2)nc1-c1cc2ccccc2o1,Potency,2511.9,nM
O=C(N/N=C/c1c[nH]c2ccccc12)c1ccccc1,Potency,10000.0,nM
O=C(NCc1ccccn1)Nc1ccc(Br)cc1Cl,Potency,11220.2,nM
CCOC(=O)NC(=O)/C(C#N)=C\Nc1ccc(Cl)cc1Cl,Potency,12589.3,nM
C/C(=N\Nc1nccnc1Cl)c1ccc(F)cc1,Potency,8912.5,nM
O=C(Nc1ccc(C(=O)NCc2ccccc2Cl)cc1)C1=CSCCO1,Potency,11220.2,nM
Cc1ccc(NC(=O)c2ccc3nsnc3c2)c(Cl)c1,Potency,1000.0,nM
CC(C)c1ccc(NC(=O)Cn2ncc3ccccc32)cc1,Potency,10000.0,nM
COc1cc(SC)ccc1C(=O)NCCOc1ccccc1Cl,Potency,7943.3,nM
Cc1snc2sc(C(=O)c3ccc(F)cc3)c(N)c12,Potency,10000.0,nM
O=c1n(Cc2ccccc2Cl)nc2n1-c1ccccc1SC2,Potency,11220.2,nM
COc1ccc(-c2onc3ccc(C(C)=O)cc23)cc1,Potency,8912.5,nM
OC(c1ccc(F)cc1)c1nc(-c2ccccc2Cl)c[nH]1,Potency,11220.2,nM
CCOC(=O)c1cc(-c2ccc(C)cc2)nn1Cc1ccccc1,Potency,10000.0,nM
Cc1ccccc1Oc1ccc(Oc2ccccc2C)nn1,Potency,7079.5,nM
Nc1cccc(C(=O)OCC(=O)c2ccccc2)c1,Potency,7943.3,nM
Cc1c(CC(=O)NC(C)C)c(=O)oc2cc3c(cc12)CCC(C)(C)O3,Potency,11220.2,nM
Br.COc1ccc(-c2csc(C3CCOC(C)C3)n2)cc1,Potency,10000.0,nM
Cc1ccc(C(=O)OCC(=O)N2CCCCCC2)c(O)c1,Potency,12589.3,nM
CC(=O)c1cc2c(=O)c3ccccc3oc2nc1C,Potency,10000.0,nM
Cc1ccc(C(=O)N2c3ccccc3CC2C)o1,Potency,3981.1,nM
Cc1ccc(CSc2ncnc3c2cnn3-c2ccc(C)cc2)cc1,Potency,4466.8,nM
COc1ccc(C(=O)Nc2ccccc2C(N)=O)cc1,Potency,6309.6,nM
Clc1ccc(OCc2nc(-c3ccncc3)no2)cc1,Potency,11220.2,nM
Cc1ccc2c(COC(=O)c3[nH]nc4ccccc34)cc(=O)oc2c1,Potency,3162.3,nM
O=C(Cc1ccccc1)c1ccc(N2CCOCC2)cc1,Potency,11220.2,nM
CC1CCc2c(sc(NC(=O)C3=COCCO3)c2C(N)=O)C1,Potency,7079.5,nM
CN1CCN(C(=O)c2cc(COc3ccccc3)on2)[C@@H](c2ccccc2)C1,Potency,5011.9,nM
N#C/C(=C\c1ccc(N2CCCCC2)o1)C(=O)Nc1cccc(Br)c1,Potency,1000.0,nM
O=C(NCC1CC1)c1cccc2c(-c3ccc(F)c(F)c3)coc12,Potency,3548.1,nM
Cc1ccc(-c2nnc(NC(=O)c3ccco3)s2)cc1,Potency,2238.7,nM
COc1cccc(-c2ccc(-c3noc(-c4ccccc4F)n3)c(OC)n2)c1,Potency,10000.0,nM
COc1cc(OC)cc(-c2noc(-c3csc([C@@H]4C[C@H](O)[C@@H](CO)O4)n3)n2)c1,Potency,10000.0,nM
O=C(Nc1ccc(Cl)cc1)c1ccc(OCC2CCCO2)cc1,Potency,4466.8,nM
Cc1ccc(N/C=C/c2onc(C)c2[N+](=O)[O-])cc1,Potency,6309.6,nM
Cc1cc(NC(=O)c2cc(C3CC3)on2)no1,Potency,6309.6,nM
CSC(=N)N/N=C/c1ccc([N+](=O)[O-])cc1.I,Potency,11220.2,nM
Cn1c(C(=O)NCc2ccccn2)cc2c(=O)n3ccccc3nc21,Potency,5011.9,nM
Cc1cccc(NC(=O)CSc2nnc(-c3[nH]nc4ccccc34)o2)c1,Potency,12589.3,nM
O=C(c1cccs1)N1CCC(c2ccccc2)C1,Potency,3548.1,nM
CC(C)Sc1nnc(-c2c[nH]c3ccccc23)n1C,Potency,7079.5,nM
CC1CCCCN1C(=O)CSc1nnc(-c2ccccc2F)o1,Potency,3162.3,nM
CC(C)(C)c1ccc(-c2nc(C#N)c(NCc3ccncc3)o2)cc1,Potency,11220.2,nM
CON(C)C(=O)/C=C/c1ccc([B-](F)(F)F)cc1.[K+],Potency,14125.4,nM
CC(Oc1ccc(Cl)cc1Cl)c1nc(-c2ccc(NC(=O)c3ccccn3)cc2)no1,Potency,1258.9,nM
O=C(/C=C/c1ccc(F)cc1)NC(=S)Nc1ccccc1O,Potency,12589.3,nM
COc1cc(CNC(=O)C2CC2)ccc1OCc1ccccc1,Potency,12589.3,nM
COc1ccc(C(=O)N/N=C/C(=O)c2ccccc2)cc1,Potency,5623.4,nM
O=C(CSc1ncccn1)NC(=O)Nc1ccc2c(c1)OCCO2,Potency,12589.3,nM
Cc1nnc(NC(=O)c2cc3ccccc3o2)s1,Potency,7079.5,nM
Clc1ccccc1OCc1nnc(-c2ccccc2Br)o1,Potency,3981.1,nM
Cc1nn(-c2ccccc2)c(/N=C/c2ccc(O)cc2)c1-c1ccccc1,Potency,5623.4,nM
O=C(Nc1ccccc1F)Nc1ccccc1F,Potency,5011.9,nM
O=C(NCCc1ccccc1F)c1cccc2cccnc12,Potency,1995.3,nM
CC(Sc1ccccc1F)C(=O)Nc1ccc2c(c1)OCCO2,Potency,11220.2,nM
CC1CCN(Cc2nc(-c3ccc(Cl)cc3)no2)CC1,Potency,8912.5,nM
O=C(Nc1nc(-c2cccs2)cs1)C1=COCCO1,Potency,3981.1,nM
CCN1CCN(Cc2ccccc2NC(=O)Nc2ccc(C)cc2)CC1,Potency,6309.6,nM
Cc1cc(/C=C2\SC(=S)NC2=O)c(C)n1-c1cccc(O)c1,Potency,2818.4,nM
CC1CCCC(NC(=O)c2ccc3c(c2)OCO3)C1C,Potency,3548.1,nM
C/C(=N\NC(=O)c1sccc1C)c1cccnc1,Potency,2818.4,nM
CCOc1ccc(/C=N/NC(=O)c2ccoc2C)cc1OC,Potency,10000.0,nM
Nn1c(SCc2ccccc2F)nnc1-c1cccnc1,Potency,8912.5,nM
CC(=O)c1ccc(NC(=O)CSc2nccn2C)cc1,Potency,11220.2,nM
O=C(O)c1ccccc1C(=O)Nc1ccc(-c2csc(-c3ccccc3)n2)cc1,Potency,7079.5,nM
COC(=O)Cc1ccc2sc(-c3ccccc3)nc2c1,Potency,7079.5,nM
O=C(NCc1cccs1)c1cc(-c2ccccc2)on1,Potency,5011.9,nM
COc1ccccc1/C=C/C(=O)NCCC1=CCCCC1,Potency,2818.4,nM
Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,Potency,3162.3,nM
COc1ccc(/C=N/Nc2ccccn2)c(OC)c1OC,Potency,11220.2,nM
CC(C)C(=O)NNc1nc2ccccc2s1,Potency,8912.5,nM
O=C(CN1CCN(Cc2ccccc2Cl)C1=O)NC1CCCCCC1,Potency,11220.2,nM
O=C(NCc1cccs1)c1cc2c(s1)CCCC2,Potency,12589.3,nM
O=C(Cc1ccc([N+](=O)[O-])cc1)c1ccc(O)cc1O,Potency,10000.0,nM
COc1cc(NC(=O)c2ccc3snnc3c2)cc(OC)c1,Potency,11220.2,nM
COC(=O)c1sc2nc3c(cc2c1N)COC(C)(C)C3,Potency,4466.8,nM
O=C(COC(=O)C1CC1)Nc1ccc(N=Nc2ccccc2)cc1,Potency,2511.9,nM
N#Cc1ccccc1NC(=O)c1ccc2c(c1)OCO2,Potency,3162.3,nM
Cc1cc(C(C)(C)C)ccc1NC(=O)CC(C)(C)CC(=O)O,Potency,12589.3,nM
C/C(=C\c1ccccc1)C(=O)Nc1ccc(Cl)cn1,Potency,7943.3,nM
O=C(NCc1ccc2c(c1)OCO2)Nc1ccc(Cl)cc1,Potency,11220.2,nM
c1ccc(CSc2ccc(-c3cccs3)nn2)nc1,Potency,7943.3,nM
Clc1ccc(OCc2nc(-c3ccncc3)no2)c(Br)c1,Potency,3981.1,nM
Fc1ccc(/C=C/c2nnc(-c3cccs3)o2)cc1,Potency,1995.3,nM
C=CCn1c(-c2ccc(OC)cc2)nc2ccccc21,Potency,10000.0,nM
CCOc1ccc(/C=N/OCC(=O)Nc2ccc(OCc3ccccc3)cc2)cc1OC,Potency,7943.3,nM
Cc1ccc(NC(=O)CCC(=O)c2cccs2)c(Br)c1,Potency,6309.6,nM
COc1ccccc1Nc1ncc(C(C)=O)c(C)n1,Potency,10000.0,nM
O=C(Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2)C(F)(F)F,Potency,3981.1,nM
Cn1cccc1C(=O)OCC(=O)c1ccc(Br)s1,Potency,8912.5,nM
Nc1ccc(O)c2c(=O)cc(-c3ccccc3Cl)oc12,Potency,2818.4,nM
Cn1c(CN2CCCC2)nc2cc(NC(=O)c3ccco3)ccc21,Potency,5623.4,nM
Clc1ccc(-c2nnc(-c3cccnc3)o2)cc1,Potency,7943.3,nM
COc1cccc(NC(=O)c2ccc(NC(=O)C(C)C)cc2)c1,Potency,10000.0,nM
Oc1nc2ccccc2nc1/C=C/c1ccccc1,Potency,3981.1,nM
O=C(COC(=O)c1c(F)cccc1Cl)NC1CCCCC1,Potency,11220.2,nM
O=C(O)c1ccc(N/N=C/c2cccc3nccnc23)cc1,Potency,12589.3,nM
CCOC(=O)c1c(C)[nH]c(N=Nc2ccc(OC)cc2)c1C,Potency,6309.6,nM
Cn1c(COc2ccccc2Br)nc2ccccc21,Potency,6309.6,nM
CC1CCCCN1Cc1c(O)ccc2c(=O)c(-c3ccc(Cl)cc3)coc12,Potency,10000.0,nM
Clc1ccc(COn2nnc3ccccc32)c(Cl)c1,Potency,5623.4,nM
CCOc1ccc(N(CC(=O)Nc2ccc(C)c(C)c2)S(C)(=O)=O)cc1,Potency,1995.3,nM
Cc1ccccc1Nc1nc(N)nc(COC(=O)c2ccccc2)n1,Potency,14125.4,nM
Cn1cccc1CNC(=O)Nc1ccc(Cl)c(Cl)c1,Potency,2238.7,nM
Cc1cc(/C=N/Nc2ccc([N+](=O)[O-])cn2)c(C)n1-c1ccccc1,Potency,10000.0,nM
O=C(NCCc1ccccc1)c1[nH]nc2ccccc12,Potency,3162.3,nM
O=C(CCSCc1ccccc1F)N1CCN(c2ccccn2)CC1,Potency,10000.0,nM
CCS(=O)(=O)c1ccc(O)c(NC(=O)/C=C/c2ccccc2)c1,Potency,12589.3,nM
COc1ccc(-c2nnn(Cc3ccccc3F)n2)cc1,Potency,3981.1,nM
O=C1C(Cl)=C(NCC2CCCO2)C(=O)N1CCc1ccccc1,Potency,7943.3,nM
O=[N+]([O-])c1ccc(COc2ccc(CN3CCCCC3)cc2)cc1,Potency,7943.3,nM
O=c1cc(-c2ccsc2)oc2ccc(-c3ccc4cc[nH]c4c3)cc12,Potency,5623.4,nM
COc1ccc(/C=N/Nc2ncc(Br)cn2)c(OC)c1,Potency,10000.0,nM
N#CCC(=O)N/N=C\c1ccccc1OC/C=C/c1ccccc1,Potency,2511.9,nM
O=c1[nH][nH]c(=O)c2c(NS(=O)(=O)c3ccccc3)cccc12,Potency,12589.3,nM
Cc1ccc(NC(=O)CCCc2ccccc2)nc1,Potency,11220.2,nM
c1csc(-c2nc3ccccc3s2)c1,Potency,7943.3,nM
S=C(Nc1ccccc1)c1ccccn1,Potency,10000.0,nM
CN(N=Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,Potency,3548.1,nM
COc1cccc(Nc2ncnc3ccccc23)c1.Cl,Potency,11220.2,nM
CCSc1nnc(NC(=O)c2cc3c(s2)CCCC3)s1,Potency,7943.3,nM
Cc1ccc(NC(=O)CCn2nnc3ccccc32)cc1,Potency,11220.2,nM
Cc1cc(Br)ccc1OCc1nnc(-c2ccccc2)o1,Potency,12589.3,nM
O=C(NCC1CC1)Nc1ccc(Cl)cc1,Potency,10000.0,nM
Cc1csc(SCC(=O)Nc2nc3ccccc3s2)n1,Potency,2818.4,nM
C/C(=N\NC(=O)c1csc(C)c1C)c1ccc(C)s1,Potency,10000.0,nM
Cc1ccc2[nH]c(-c3ccncc3)nc2c1,Potency,2818.4,nM
Nc1n[nH]c(O)c1N=Nc1ccc2c(c1)OCO2,Potency,12589.3,nM
O=C(NOCc1ccccc1)c1ccccc1,Potency,1258.9,nM
COc1cc(C2Nc3ccccc3C(=O)N2c2ccccc2)ccc1O,Potency,7943.3,nM
O=C(/C=C/c1ccc(N2CCOCC2)cc1)c1ccccc1,Potency,3162.3,nM
COc1ccc(C(=O)Nc2nc3ccccc3s2)cc1OC,Potency,4466.8,nM
O=C(O)c1ccc2oc(SCC(=O)N3CCCCC3)nc2c1,Potency,7079.5,nM
COc1cccc(-c2nnc(NC(=O)c3ccco3)s2)c1,Potency,6309.6,nM
Nn1c(SCc2ccccc2)nc2ccccc21,Potency,3162.3,nM
COc1cc(N=Nc2ccc3ccccc3c2)ccc1O,Potency,5011.9,nM
C=C1NN(CC#N)C(=O)N1c1ccc(OCc2ccccc2)cc1,Potency,10000.0,nM
Cc1ccc(NC(=O)CC2CCCC2)c(Br)c1,Potency,12589.3,nM
CC(C)(C)NCC(=O)N/N=C/c1ccc(OCc2ccccc2)cc1,Potency,10000.0,nM
COc1ccc(-c2nnc(-c3ccc(C)cc3)o2)cc1,Potency,2818.4,nM
Cc1nc(N)sc1N=Nc1ccccc1C(F)(F)F,Potency,7079.5,nM
Cc1ccc(/C=N/NC(=S)NC2CCCCC2)o1,Potency,4466.8,nM
Cn1nnnc1SCc1csc(Nc2ccccc2)n1,Potency,12589.3,nM
Cc1cc(O)ccc1Nc1cc(-c2cccc(N(C)C)c2)ncn1,Potency,5623.4,nM
CCSc1ccccc1C(=O)Nc1ccc2c(c1)OCO2,Potency,11220.2,nM
CC(=O)c1cccc(NC(=S)NC(=O)c2ccc(C)cc2)c1,Potency,7943.3,nM
CC(=O)c1ccc(OC(C)c2nc3ccccc3s2)cc1,Potency,6309.6,nM
CSCCC(=O)Nc1ccc(C(C)=O)cc1,Potency,12589.3,nM
CCC(=O)/N=C(\N)Nc1nc2ccccc2o1,Potency,1995.3,nM
C=CCn1c2ccccc2c(=O)c2cc(C#CC[C@@H](C)O)ccc21,Potency,3548.1,nM
O=C(CC(=O)c1ccccc1)Nc1cccnc1Cl,Potency,7079.5,nM
CCNC(=O)Nc1nc2ccccc2s1,Potency,3162.3,nM
CCOc1ccc(C(=O)Nc2ccc3c(c2)OCCO3)cc1OC,Potency,10000.0,nM
Cc1cc(C(=O)CN2C(=O)NC3(CCCCC3C)C2=O)c(C)n1Cc1cccs1,Potency,4466.8,nM
Cc1cc2c(cc1C)NC(=O)CC(c1ccccc1)=N2,Potency,3162.3,nM
Cc1ccccc1C(=O)O/N=C(\N)Cc1cccs1,Potency,8912.5,nM
CCn1ncc(/C=C/C(=O)c2ccccc2)c1C,Potency,11220.2,nM
CC(C)Cc1cc(C(=O)NCc2cccs2)no1,Potency,12589.3,nM
CCN(CC)c1ccc(NC(=O)/C=C\c2ccccc2Cl)cc1,Potency,3162.3,nM
